"eval/time","data/GRPO-s25-p8-n128-m32-ga4 - _step","data/GRPO-s25-p8-n128-m32-ga4 - _step__MIN","data/GRPO-s25-p8-n128-m32-ga4 - _step__MAX","data/GRPO-s25-p8-n128-m32-ga4 - eval/completions/mean_length","data/GRPO-s25-p8-n128-m32-ga4 - eval/completions/mean_length__MIN","data/GRPO-s25-p8-n128-m32-ga4 - eval/completions/mean_length__MAX","data/GRPO-s25-p8-n32-m32-ga16 - _step","data/GRPO-s25-p8-n32-m32-ga16 - _step__MIN","data/GRPO-s25-p8-n32-m32-ga16 - _step__MAX","data/GRPO-s25-p8-n32-m32-ga16 - eval/completions/mean_length","data/GRPO-s25-p8-n32-m32-ga16 - eval/completions/mean_length__MIN","data/GRPO-s25-p8-n32-m32-ga16 - eval/completions/mean_length__MAX","data/GRPO-s24-p8-n32-m32-ga16 - _step","data/GRPO-s24-p8-n32-m32-ga16 - _step__MIN","data/GRPO-s24-p8-n32-m32-ga16 - _step__MAX","data/GRPO-s24-p8-n32-m32-ga16 - eval/completions/mean_length","data/GRPO-s24-p8-n32-m32-ga16 - eval/completions/mean_length__MIN","data/GRPO-s24-p8-n32-m32-ga16 - eval/completions/mean_length__MAX","data/GRPO-s23-p8-n128-m32-ga4 - _step","data/GRPO-s23-p8-n128-m32-ga4 - _step__MIN","data/GRPO-s23-p8-n128-m32-ga4 - _step__MAX","data/GRPO-s23-p8-n128-m32-ga4 - eval/completions/mean_length","data/GRPO-s23-p8-n128-m32-ga4 - eval/completions/mean_length__MIN","data/GRPO-s23-p8-n128-m32-ga4 - eval/completions/mean_length__MAX","data/GRPO-s23-p8-n32-m32-ga16 - _step","data/GRPO-s23-p8-n32-m32-ga16 - _step__MIN","data/GRPO-s23-p8-n32-m32-ga16 - _step__MAX","data/GRPO-s23-p8-n32-m32-ga16 - eval/completions/mean_length","data/GRPO-s23-p8-n32-m32-ga16 - eval/completions/mean_length__MIN","data/GRPO-s23-p8-n32-m32-ga16 - eval/completions/mean_length__MAX","data/GRPO-s22-p8-n128-m32-ga4 - _step","data/GRPO-s22-p8-n128-m32-ga4 - _step__MIN","data/GRPO-s22-p8-n128-m32-ga4 - _step__MAX","data/GRPO-s22-p8-n128-m32-ga4 - eval/completions/mean_length","data/GRPO-s22-p8-n128-m32-ga4 - eval/completions/mean_length__MIN","data/GRPO-s22-p8-n128-m32-ga4 - eval/completions/mean_length__MAX","data/GRPO-s22-p8-n32-m32-ga16 - _step","data/GRPO-s22-p8-n32-m32-ga16 - _step__MIN","data/GRPO-s22-p8-n32-m32-ga16 - _step__MAX","data/GRPO-s22-p8-n32-m32-ga16 - eval/completions/mean_length","data/GRPO-s22-p8-n32-m32-ga16 - eval/completions/mean_length__MIN","data/GRPO-s22-p8-n32-m32-ga16 - eval/completions/mean_length__MAX","data/GRPO-s21-p8-n128-m32-ga4 - _step","data/GRPO-s21-p8-n128-m32-ga4 - _step__MIN","data/GRPO-s21-p8-n128-m32-ga4 - _step__MAX","data/GRPO-s21-p8-n128-m32-ga4 - eval/completions/mean_length","data/GRPO-s21-p8-n128-m32-ga4 - eval/completions/mean_length__MIN","data/GRPO-s21-p8-n128-m32-ga4 - eval/completions/mean_length__MAX","data/GRPO-s21-p8-n32-m32-ga16 - _step","data/GRPO-s21-p8-n32-m32-ga16 - _step__MIN","data/GRPO-s21-p8-n32-m32-ga16 - _step__MAX","data/GRPO-s21-p8-n32-m32-ga16 - eval/completions/mean_length","data/GRPO-s21-p8-n32-m32-ga16 - eval/completions/mean_length__MIN","data/GRPO-s21-p8-n32-m32-ga16 - eval/completions/mean_length__MAX","data/GRPO-s12-p8-n128-m32-ga4 - _step","data/GRPO-s12-p8-n128-m32-ga4 - _step__MIN","data/GRPO-s12-p8-n128-m32-ga4 - _step__MAX","data/GRPO-s12-p8-n128-m32-ga4 - eval/completions/mean_length","data/GRPO-s12-p8-n128-m32-ga4 - eval/completions/mean_length__MIN","data/GRPO-s12-p8-n128-m32-ga4 - eval/completions/mean_length__MAX"
"64.3050507529988","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","20","20","330.5852966308594","330.5852966308594","330.5852966308594","","","","","","","","","","","",""
"76.86957264699595","","","","","","","","","","","","","","","","","","","20","20","20","326.0712585449219","326.0712585449219","326.0712585449219","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"77.2752280379973","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","20","20","328.0068359375","328.0068359375","328.0068359375"
"82.09040993199596","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","20","20","327.1190490722656","327.1190490722656","327.1190490722656","","","","","","","","","","","","","","","","","","","","","","","",""
"82.27580159299396","20","20","20","333.6080322265625","333.6080322265625","333.6080322265625","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"84.89253760800057","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56","56","56","331.97271728515625","331.97271728515625","331.97271728515625","","","","","",""
"102.1630358370021","","","","","","","","","","","","","56","56","56","332.0022888183594","332.0022888183594","332.0022888183594","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"104.06391523699858","","","","","","","","","","","","","","","","","","","","","","","","","56","56","56","331.5057067871094","331.5057067871094","331.5057067871094","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"108.3521856619991","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56","56","56","329.47991943359375","329.47991943359375","329.47991943359375","","","","","","","","","","","","","","","","","",""
"109.2643048960017","","","","","","","56","56","56","337.1773986816406","337.1773986816406","337.1773986816406","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"123.78066426599253","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42","42","42","316.90447998046875","316.90447998046875","316.90447998046875","","","","","","","","","","","",""
"126.81850687600672","42","42","42","303.9681701660156","303.9681701660156","303.9681701660156","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131.99976360599976","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42","42","42","319.1478576660156","319.1478576660156","319.1478576660156","","","","","","","","","","","","","","","","","","","","","","","",""
"137.31992964099845","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42","42","42","318.3912048339844","318.3912048339844","318.3912048339844"
"139.61669904299924","","","","","","","","","","","","","","","","","","","42","42","42","280.0325927734375","280.0325927734375","280.0325927734375","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"152.772110058002","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","114","114","114","318.5928649902344","318.5928649902344","318.5928649902344","","","","","",""
"157.97803988999658","","","","","","","","","","","","","","","","","","","","","","","","","114","114","114","316.4321594238281","316.4321594238281","316.4321594238281","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"172.80668001899903","","","","","","","114","114","114","333.22137451171875","333.22137451171875","333.22137451171875","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"183.96963875299843","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","114","114","114","312.6800537109375","312.6800537109375","312.6800537109375","","","","","","","","","","","","","","","","","",""
"197.9216750229898","","","","","","","","","","","","","114","114","114","333.8453369140625","333.8453369140625","333.8453369140625","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"242.88468756999646","","","","","","","","","","","","","","","","","","","","","","","","","172","172","172","325.373779296875","325.373779296875","325.373779296875","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
